  -1.0681422e+00  -1.2460560e+00  -1.4810149e+00  -3.1067733e+00  -3.8292883e+00  -1.7655842e+00  -4.4505255e+00  -2.1290783e+00  -2.0942455e-01  -2.4364971e+00  -8.3969424e-01  -1.5123628e+00  -3.3743318e+00  -2.9911144e+00  -3.5576290e+00  -2.9938905e+00
  -2.3414815e+00  -1.2839015e+00  -9.1344748e-01  -2.0321558e+00  -3.6878157e+00  -3.9006979e+00  -3.3259527e+00  -4.1189020e+00  -1.0396663e-01  -3.2765134e+00  -1.9438782e+00  -2.2353606e+00  -2.2348819e+00  -3.6379838e+00  -4.8073100e+00  -3.5024633e+00
  -2.2291786e+00  -1.5815256e+00  -1.1313417e+00  -1.5784314e+00  -3.7619392e+00  -1.8949650e+00  -4.2079391e+00  -2.6017909e+00  -2.0803978e-01  -3.2224825e+00  -7.5813302e-01  -1.5995214e+00  -1.5471603e+00  -2.8038255e+00  -3.3191565e+00  -2.6905517e+00
  -1.8446556e+00  -1.9232789e+00  -7.7142758e-01  -2.4705924e+00  -2.2310171e+00  -3.2780396e+00  -2.7352906e+00  -3.4781775e+00  -1.9200752e-01  -3.6216308e+00  -1.2656311e+00  -2.5871472e+00  -2.8294787e+00  -1.1707979e+00  -3.6185811e+00  -1.6273103e+00
  -2.1584370e+00  -4.1523877e+00  -2.4739616e+00  -1.1824009e+00  -3.3589256e+00  -1.1077363e+00  -3.2231175e+00  -2.5518888e+00  -5.4257115e-01  -2.0743724e+00  -3.1973240e-01  -1.4387019e+00  -1.5197272e+00  -3.0409052e+00  -3.9320234e+00  -3.4721681e+00
  -4.0904127e+00  -1.1054830e+00  -1.0140880e+00  -9.9397608e-01  -4.0020408e+00  -1.9387036e+00  -3.5913601e+00  -2.9788146e+00  -6.2209777e-01  -1.6776640e+00  -6.3483416e-01  -1.4824041e+00  -7.3566068e-01  -2.9860382e+00  -3.3020798e+00  -3.2709618e+00
  -2.1010288e+00  -2.0642442e+00  -9.3347787e-01  -1.1866924e+00  -3.6499807e+00  -1.4565591e+00  -3.9505938e+00  -1.5293456e+00  -6.2374548e-01  -1.8653499e+00  -4.3155722e-01  -1.2698420e+00  -1.2255549e+00  -2.9545983e+00  -3.2831412e+00  -3.3105636e+00
  -1.7098733e+00  -1.6463713e+00  -8.3591169e-01  -1.6917433e+00  -2.5602852e+00  -4.0256813e+00  -3.2402457e+00  -2.4193500e+00  -1.8153392e-01  -2.9838840e+00  -2.0746018e+00  -1.8543348e+00  -2.0882324e+00  -1.2360482e+00  -3.8586292e+00  -1.4404973e+00
  -2.7477722e+00  -2.3250814e+00  -8.9890976e-01  -1.9037413e+00  -3.7251191e+00  -2.6587117e+00  -4.1308456e+00  -2.7801907e+00  -1.6369877e-01  -3.0008256e+00  -1.2229866e+00  -1.0345473e+00  -1.9970810e+00  -3.0988860e+00  -3.4433609e+00  -3.5318247e+00
  -1.3512157e+00  -1.3076350e+00  -8.6114760e-01  -2.2274630e+00  -3.1745045e+00  -2.3861220e+00  -3.1990358e+00  -2.9690191e+00  -2.0429679e-01  -4.4524821e+00  -1.2064643e+00  -2.2979497e+00  -2.5553974e+00  -1.2562487e+00  -3.9811399e+00  -2.2343678e+00
